Manufacturer,Model,Glass Diameter (mm),Image Diameter (mm),Closest Production Size (mm),Undercut (mm),Production Review,Notes
"Selecon","Zoomspot 2500","100","75","100","0","","Gobo holder: GH01 metal, GH02 glass."
"Selecon","Zoomspot 6501","100","75","100","0","","Gobo holder: GH01 metal, GH02 glass."
"Selux","LIF Gobo Projector","50","40","50","0","",""
"Selux","Olivio Grande Gobo","50","40","50","0","",""
"SGM (Italy)","Colorlab","33.9","28","33.8","0.1","",""
"SGM (Italy)","Displayer","33.9","28","33.8","0.1","",""
"SGM (Italy)","G7 Spot","27.8","23","27.8","0","",""
"SGM (Italy)","G-Profile","37.5","30","37.5","0","",""
"SGM (Italy)","G-Profile Turbo","37.5","30","37.5","0","",""
"SGM (Italy)","G-Spot","37.5","30","37.5","0","","GoboPlus lists image 32mm - verify."
"SGM (Italy)","Galileo 575","42.9","40","37.5","5.4","Nearest size is 5.4 mm under the holder",""
"SGM (Italy)","Galileo 1200, 575","54","45","53.3","0.7","",""
"SGM (Italy)","Galileo II /Live 1200","42.9","40","37.5","5.4","Nearest size is 5.4 mm under the holder",""
"SGM (Italy)","Galileo II, III, IV, IV 1200","49","38","44","5","Nearest size is 5 mm under the holder",""
"SGM (Italy)","Galileo IV 1200","42.9","40","37.5","5.4","Nearest size is 5.4 mm under the holder",""
"SGM (Italy)","Galileo IV Live 1200","42.9","40","37.5","5.4","Nearest size is 5.4 mm under the holder","Needs Special Holder (Unavailable). GoboPlus lists image 38mm - verify."
"SGM (Italy)","Giotto Spot 250","28","24","27.8","0.2","",""
"SGM (Italy)","Giotto Spot 400","28","23","27.8","0.2","",""
"SGM (Italy)","Giotto Spot 1200","42.9","40","37.5","5.4","Nearest size is 5.4 mm under the holder","GoboPlus lists glass 49mm; image 33mm - verify."
"SGM (Italy)","Giotto Spot 1500, 250, 400, 700","27.8","22","27.8","0","",""
"SGM (Italy)","Idea Scanner & Idea Spot","27","22","26.5","0.5","",""
"SGM (Italy)","Synthesis","27.8","22","27.8","0","",""
"SGM (Italy)","Victory","33","28","32.7","0.3","",""
"SGM (Italy)","Victory 250","33.9","31","33.8","0.1","",""
"SGM (Italy)","Victory II 250","33.9","31","33.8","0.1","",""
"SGM (Italy)","Victory PRO 150","33.9","30","33.8","0.1","",""
"Showtec","Explorer 250 Pro","37.5","28","37.5","0","",""
"Showtec","Explorer 575 Spot","27","22","26.5","0.5","",""
"Showtec","Genesis 12 575 HMI","28","22","27.8","0.2","",""
"Showtec","Genesis Barrel CDM/EH","28","22","27.8","0.2","",""
"Showtec","Genesis Scan CDM/EHJ","28","22","27.8","0.2","",""
"Showtec","Giant","23.8","20","23.7","0.1","",""
"Showtec","Image Spot 75W","40","18","37.5","2.5","Nearest size is 2.5 mm under the holder",""
"Showtec","Image Spot 300","66","45","66","0","",""
"Showtec","Imagespot 25W","25","18","25","0","",""
"Showtec","Indigo 50 LED","24","20","23.7","0.3","",""
"Showtec","Indigo 150 LED","26","20","25.5","0.5","",""
"Showtec","Indigo 250 LED","31","27","30.8","0.2","","Gobo holder: Rotating."
"Showtec","Indigo 250 LED","36","27","35.3","0.7","","Gobo holder: Static."
"Showtec","Indigo 4500","25.8","20","25.5","0.3","",""
"Showtec","Indigo 4600","25.95","19","25.5","0.45","",""
"Showtec","Indigo 5500 Rotating","32.75","27.5","32.7","0.05","",""
"Showtec","Indigo 6500","32.7","26.5","32.7","0","",""
"Showtec","Infinity 200","29","22","27.8","1.2","Nearest size is 1.2 mm under the holder",""
"Showtec","Infinity IS 100","26.8","22","26.5","0.3","",""
"Showtec","Infinity iS-250","27.7","21","26.5","1.2","Nearest size is 1.2 mm under the holder",""
"Showtec","Infinity S401 Spot","25.94","22.94","25.5","0.44","","1.1mm Maximum Thickness."
"Showtec","LED Gobo Projector","25","18","25","0","",""
"Showtec","Multi Profile Spot","86","64.5","86","0","",""
"Showtec","Performer Profile 600","86","60","86","0","",""
"Showtec","Performer Profile 650 Q5","80","68","70","10","Nearest size is 10 mm under the holder","2.5mm Maximum Thickness."
"Showtec","Performer Profile Mini","38","27","37.5","0.5","",""
"Showtec","Phantom 3R Hybrid Glass (B&W Glass only)","13.75","11","","","No production size at or below 13.75 mm",""
"Showtec","Phantom 3R Hybrid Metal","13.75","11","","","No production size at or below 13.75 mm",""
"Showtec","Phantom 50 Spot","24","17","23.7","0.3","",""
"Showtec","Phantom 65 Glass","23.8","20","23.7","0.1","",""
"Showtec","Phantom 65 Metal","24","20","23.7","0.3","",""
"Showtec","Phantom 75W LED","24","20","23.7","0.3","","23.8 mm for glass."
"Showtec","Phantom 100","24","20","23.7","0.3","",""
"Showtec","Phantom 130 Spot Glass","24","20","23.7","0.3","","1.31mm Maximum Thickness."
"Showtec","Phantom 130 Spot Metal","24","20","23.7","0.3","",""
"Showtec","Phantom 140 LED","26.8","22","26.5","0.3","",""
"Showtec","Phantom 250 Spot","25.8","21","25.5","0.3","",""
"Showtec","Phantom 575 Basic EB / Pro EB","27.8","23","27.8","0","",""
"Showtec","Phantom MK II EHJ 250 / HTI 150","27","20","26.5","0.5","",""
"Showtec","Polar 300 Hybrid","16.32","12","16","0.32","",""
"Showtec","Profile Spotlight 650/1200W","65.5","45","53.3","12.2","Nearest size is 12.2 mm under the holder",""
"Showtec","Promo Par 16","55","40","53.3","1.7","Nearest size is 1.7 mm under the holder",""
"Showtec","Promo Par 50","60","36","53.3","6.7","Nearest size is 6.7 mm under the holder",""
"Showtec","Revolution 250 / 700","31","25","30.8","0.2","",""
"Showtec","Typhoon","27.8","22","27.8","0","",""
"Sidius","575 Work","27","22","26.5","0.5","",""
"SLV","Gobo Projector","53.3","40","53.3","0","",""
"Smallrig","SP AIR","40","28","37.5","2.5","Nearest size is 2.5 mm under the holder",""
"Soundlab","Advertising Projector 75W","44","32","44","0","",""
"Soundtech","Gobo Spot","37.5","28","37.5","0","",""
"Spotlight Milano","Combi 05 ZS/ZW","86","64.5","86","0","",""
"Spotlight Milano","Combi 05 ZS/ZW","65.5","49.5","53.3","12.2","Nearest size is 12.2 mm under the holder",""
"Spotlight Milano","Combi 12 ZS/ZW","86","64.5","86","0","",""
"Spotlight Milano","Combi 25 ZM/ZW","100","75","100","0","",""
"Spotlight Milano","Combi 25 ZM/ZW","86","64.5","86","0","",""
"Spotlight Milano","Evolution 12 DC ZS/ZW, 12 H ZS/ZW","86","64.5","86","0","",""
"Spotlight Milano","Figura 12 Axial LV","86","64.5","86","0","",""
"Spotlight Milano","Piccolo HE/HS/ME/MS","65.5","49.5","53.3","12.2","Nearest size is 12.2 mm under the holder",""
"Spotlight Milano","ProfiLED 50 Zs CW/WW/NW","65.5","49.5","53.3","12.2","Nearest size is 12.2 mm under the holder",""
"Spotlight Milano","ProfiLED 100 ZS","86","64.5","86","0","",""
"Spotlight Milano","ProfiLED 100 ZW","65.5","49.5","53.3","12.2","Nearest size is 12.2 mm under the holder",""
"Spotlight Milano","ProfiLED 150 RGBW, 250 RGBW","86","64.5","86","0","",""
"Spotlight Milano","ProfiLED 200 CW/WW/NW","86","64.5","86","0","",""
"Spotlight Milano","ProfiLED 600 RGBW","86","49.5","86","0","","Gobo holder: Adjustable holder / check gobo size."
"Spotlight Milano","Sintesi Figura 05 ZS/ZW","86","64.5","86","0","","Gobo holder: Adjustable holder / check gobo size."
"Spotlight Milano","Sintesi Figura 05 ZS/ZW","65.5","49.5","53.3","12.2","Nearest size is 12.2 mm under the holder","Gobo holder: Adjustable holder / check gobo size."
"Spotlight Milano","Sintesi Figura 12 ZS/ZW, 25 ZS","86","64.5","86","0","",""
"Spotlight Milano","Sintesi/ Vision 1200","86","64.5","86","0","","Gobo holder: GH50 metal."
"Spotlight Milano","Sintesi/Vision 650","65.5","49.5","53.3","12.2","Nearest size is 12.2 mm under the holder","Gobo holder: GH49 metal."
"Spotlight Milano","Sintesi/Vision 2500","100","75","100","0","","Gobo holder: GH51 metal."
"Spotlight Milano","SS 300, 500, 650","86","64.5","86","0","","Gobo holder: Adjustable holder / check size."
"Spotlight Milano","SS 300, 500, 650","65.5","49.5","53.3","12.2","Nearest size is 12.2 mm under the holder","Gobo holder: Adjustable holder / check size."
"Spotlight Milano","Vedette 12 M CR/HR","100","75","100","0","",""
"Spotlight Milano","Vedette 12 MMT","86","64.5","86","0","",""
"Spotlight Milano","Vedette 25 CM HR","100","75","100","0","",""
"Spotlight Milano","Vedette 25 H/MR","86","64.5","86","0","",""
"Stairville","GP30-W LED Gobo Projector","37.5","28","37.5","0","",""
"Stairville","MH 250 S","26.8","22","26.5","0.3","",""
"Stairville","MH-50x","24","20","23.7","0.3","",""
"Stairville","MH-X25 LED Spot Moving Head","24","20","23.7","0.3","",""
"Stairville","MH-X200","28","18","27.8","0.2","",""
"Stairville","RevueLED 150 Profile","86","64.5","86","0","",""
"Standard Size","A Size","100","75","100","0","","Previously listed here as 81 mm image."
"Standard Size","B Size","86","64.5","86","0","","Previously listed here as 70 mm image."
"Standard Size","BG-Size","82","64","70","12","Nearest size is 12 mm under the holder",""
"Standard Size","D Size","53.3","40","53.3","0","","Previously listed here as 43 mm image."
"Standard Size","E Size","37.5","28","37.5","0","",""
"Standard Size","G Size","66","45","66","0","","Metal holder size (Clay Paky / integral); glass holders take 51.8 mm. Previously listed here as 51.8 mm / 43 mm."
"Standard Size","M Size","65.5","49.5","53.3","12.2","Nearest size is 12.2 mm under the holder","Some fixtures use 66 mm. Previously listed here as 66 mm / 54 mm."
"Standard Size","S Size","92","79","86","6","Nearest size is 6 mm under the holder","Metal only."
"Standard Size","T Size","46.5","38","44","2.5","Nearest size is 2.5 mm under the holder",""
"Standard Size","V Size","25","18","25","0","","Previously listed here as 22.5 mm / 22 mm."
"Steinigker Showtechnik","Future Lite","33","28","32.7","0.3","",""
"Strand Lighting","263 / 264 profile","100","75","100","0","","Gobo holder: GH74 metal, GH05 glass."
"Strand Lighting","263 / 264 profile","86","64.5","86","0","","Gobo holder: GH73 metal, GH35 glass."
"Strand Lighting","263/264","100","75","100","0","","Gobo holder: GH74 metal, GH05 glass."
"Strand Lighting","263/264","86","64.5","86","0","","Gobo holder: GH73 metal, GH35 glass."
"Strand Lighting","Alto","100","75","100","0","","Gobo holder: GH07 metal."
"Strand Lighting","Alto","86","64.5","86","0","","Gobo holder: GH36 metal."
"Strand Lighting","Brio","100","75","100","0","","Gobo holder: GH74 metal, GH05 glass."
"Strand Lighting","Brio","86","64.5","86","0","","Gobo holder: GH73 metal, GH35 glass."
"Strand Lighting","Cadenza","100","75","100","0","","Gobo holder: GH07 metal."
"Strand Lighting","Cadenza","86","64.5","86","0","","Gobo holder: GH36 metal."
"Strand Lighting","Cantata","100","75","100","0","","Gobo holder: GH74 metal, GH05 glass."
"Strand Lighting","Cantata","86","64.5","86","0","","Gobo holder: GH73 metal, GH35 glass."
"Strand Lighting","Harmony","100","75","100","0","","Gobo holder: GH74 metal, GH05 glass."
"Strand Lighting","Harmony","86","64.5","86","0","","Gobo holder: GH73 metal, GH35 glass."
"Strand Lighting","Hilite 23","53.3","40","53.3","0","","Gobo holder: GH13 metal."
"Strand Lighting","Leko","86","64.5","86","0","","Gobo holder: GH48 metal."
"Strand Lighting","Minim 23","53.3","40","53.3","0","","Gobo holder: GH13 metal."
"Strand Lighting","Optique","100","75","100","0","","Gobo holder: GH74 metal, GH05 glass."
"Strand Lighting","Optique","86","64.5","86","0","","Gobo holder: GH73 metal, GH35 glass."
"Strand Lighting","Patt 765, 793, 794, 293, 294","100","75","100","0","","Gobo holder: GH11 metal."
"Strand Lighting","Patt 765, 793, 794, 293, 294","150","125","100","50","Nearest size is 50 mm under the holder","Gobo holder: GH10 metal."
"Strand Lighting","Pattern 23/23N","86","64.5","86","0","","Gobo holder: GH08 metal."
"Strand Lighting","Prelude","100","75","100","0","","Gobo holder: GH74 metal, GH05 glass."
"Strand Lighting","Prelude","86","64.5","86","0","","Gobo holder: GH73 metal, GH35 glass."
"Strand Lighting","Quartet","65.5","49.5","53.3","12.2","Nearest size is 12.2 mm under the holder","Gobo holder: GH33 metal."
"Strand Lighting","SL Coolbeam","86","64.5","86","0","","Gobo holder: GH73 metal, GH35 glass."
"Strand Lighting","SL Range","100","75","100","0","","Gobo holder: GH74 metal, GH05 glass."
"Strand Lighting","SL Range","86","64.5","86","0","","Gobo holder: 15786 Iris Slot / GH73 metal and GH35 glass Gobo Slot."
"Strand Lighting","SL Range","86","62","86","0","","Gobo holder: GH76 with clips. B bezel glass (clip holder)."
"Strand Lighting","SL Range","65.5","49.5","53.3","12.2","Nearest size is 12.2 mm under the holder","Gobo holder: GH46 metal, GH53 glass."
"Strand Lighting","Solo","100","75","100","0","","Gobo holder: GH07 metal."
"Strand Lighting","Solo","86","64.5","86","0","","Gobo holder: GH36 metal."
"Strand Lighting","T 84","100","75","100","0","",""
"Strand Lighting","T Spot","100","75","100","0","","Gobo holder: GH74 metal, GH05 glass."
"Strand Lighting","T Spot","86","64.5","86","0","","Gobo holder: GH73 metal, GH35 glass."
"Strand Lighting","Toccata","100","75","100","0","","Gobo holder: GH07 metal."
"Strand Lighting","Toccata","86","64.5","86","0","","Gobo holder: GH36 metal."
"Studio Due","Lantern","42","33","37.5","4.5","Nearest size is 4.5 mm under the holder",""
"Studio Due","Live Pro","35.5","32","35.3","0.2","","Gobo holder: Rotating."
"Studio Due","Live Pro","42","38","37.5","4.5","Nearest size is 4.5 mm under the holder","Gobo holder: Static."
"Studio Due","Shark 150","24","19","23.7","0.3","",""
"Studio Due","Shark 250","23.7","19","23.7","0","",""
"Studio Due","Stratos","37","32","35.3","1.7","Nearest size is 1.7 mm under the holder","Gobo holder: Rotating."
"Studio Due","Stratos","42","39","37.5","4.5","Nearest size is 4.5 mm under the holder","Gobo holder: Static."
"Studio Due","Strong Professional Scan 250","25","17","25","0","",""
"Studio Due","XS Excess","37.5","28","37.5","0","",""
"Sylvania","Kreios G1 LED","37.5","28","37.5","0","",""
"TAS","Compact Scan","26.5","22","26.5","0","",""
"TAS","Digi Scan","26.5","22","26.5","0","",""
"TAS","Pro Spot 575 LX","32.9","28","32.7","0.2","","Gobo holder: Rotating & Static."
"TAS","Pro Spot Moving Yoke","26.5","22","26.5","0","",""
"Tasco","Starlight MK 2","46.5","38","44","2.5","Nearest size is 2.5 mm under the holder",""
"Tasco","Starlight MK 3","41","37","37.5","3.5","Nearest size is 3.5 mm under the holder",""
"Tasco","Starlight MK 5","46.5","38","44","2.5","Nearest size is 2.5 mm under the holder",""
"Teatro","Acuto 2K","100","75","100","0","","Gobo holder: GH44 metal discontinued."
"Teatro","Comma 650W","65.5","49.5","53.3","12.2","Nearest size is 12.2 mm under the holder","Gobo holder: GH41 metal discontinued."
"Teatro","Tipo 1200W","86","64.5","86","0","","Gobo holder: GH43 metal discontinued."
"Teatro","Tratto","86","64.5","86","0","","Gobo holder: GH43 metal discontinued."
"Tech Lighting","MR75","37.5","28","37.5","0","",""
"Tech Lighting","T 156","51","27","50","1","Nearest size is 1 mm under the holder",""
"Tech Lighting","T-156 Gobo Holder","54","27","53.3","0.7","","Use 53.3mm Glass."
"Techlumen","Spot 250, 575","27","22","26.5","0.5","",""
"Techni-Lux","DM-VectorLED 160S","25","20","25","0","",""
"Techni-Lux","DM-VectorLED 1140S","29","24","27.8","1.2","Nearest size is 1.2 mm under the holder","No glass size available."
"Techni-Lux","G2R LED","37.5","28","37.5","0","",""
"Techni-Lux","IL-Tracker 250S/1","37.2","30","35.3","1.9","Nearest size is 1.9 mm under the holder","No glass size available."
"Techni-Lux","Servo Spot 250, 500","26.5","22","26.5","0","",""
"Techni-Lux","TH-GOBO1B","50","27","50","0","",""
"Terbley","V 250 SP, V 575 S, V 700","26.8","22","26.5","0.3","",""
"Terbley","V 1500 T","29","22","27.8","1.2","Nearest size is 1.2 mm under the holder",""
"Terralec","Gobo Projector","53.3","40","53.3","0","",""
"Terralec","Nautic Gobo","53.3","40","53.3","0","",""
"Thorn","Phantom","65.5","49.5","53.3","12.2","Nearest size is 12.2 mm under the holder",""
"Times Square","Gobo 150 CDM, 70 CDM, MC70FP, OD70PF, Q3002","65.5","49.5","53.3","12.2","Nearest size is 12.2 mm under the holder",""
"Times Square","MR35","37.5","28","37.5","0","",""
"Times Square","MR75","37.5","28","37.5","0","","Gobo holder: GH13 metal."
"Tobias Grau","Omm Focus Contur","40","28","37.5","2.5","Nearest size is 2.5 mm under the holder","Square gobo, not round."
"TourPro Lighting","LightSky F1000","36","25","35.3","0.7","","Use 35.3mm Glass."
"TourPro Lighting","LightSky s500 Hybrid","15.9","10","","","No production size at or below 15.9 mm",""
"Tourspot","575","30","23","29.9","0.1","",""
"Triton Blue","Pro Spot 700, Spot 575 MSR","26.5","20","26.5","0","",""
"Vari-Lite","VL1","25","18","25","0","",""
"Vari-Lite","VL6B, 6B","22.5","18","22.5","0","","Gobo holder: VL Carrier."
"Vari-Lite","VL440 Spot","25.5","24","25.5","0","",""
"Vari-Lite","VL770 Spot","25.5","24","25.5","0","",""
"Vari-Lite","VL880","25.5","24","25.5","0","","Gobo holder: Rotating (no carrier)."
"Vari-Lite","VL880 Spot","25.5","24","25.5","0","",""
"Vari-Lite","VL1000","40.6","28.5","37.5","3.1","Nearest size is 3.1 mm under the holder","Requires special holder from VariLite - (Gobo) Mirrored side up. See Diagram. GoboPlus lists glass E-37.5mm; image 28mm - verify."
"Vari-Lite","VL1100 ERS","37.5","28","37.5","0","","Gobo holder: Rotating VL Carrier."
"Vari-Lite","VL2500 Spot","22.7","15","22.5","0.2","","Gobo holder: Rotating VL Carrier."
"Vari-Lite","VL2500 Spot","Trapezoid","28","","","Not a standard round size","Gobo holder: Fixed VL Carrier. Trapezoid gobo, not round. Check with manufacturing."
"Vari-Lite","VL2500 Spot (Rotating)","22.7","16.5","22.5","0.2","","Requires special holder from VariLite - (Gobo) Mirrored side up. See Diagram."
"Vari-Lite","VL2600 Spot","26.8","17","26.5","0.3","",""
"Vari-Lite","VL3000","37.5","26.5","37.5","0","","Requires special holder from VariLite - (Gobo) Mirrored side down. See Diagram."
"Vari-Lite","VL3000 Q Spot","37.5","26.5","37.5","0","","Gobo holder: Rotating VL Carrier."
"Vari-Lite","VL3000 Spot","37.5","26.5","37.5","0","","Gobo holder: Rotating VL Carrier."
"Vari-Lite","VL3015 Spot","37.5","26.5","37.5","0","","Gobo holder: Rotating VL Carrier."
"Vari-Lite","VL3015LT Spot","37.5","26.5","37.5","0","","Gobo holder: Rotating VL Carrier."
"Vari-Lite","VL3500","37.5","26.5","37.5","0","","Requires special holder from VariLite - (Gobo) Mirrored side down. See Diagram."
"Vari-Lite","VL3500 Q Spot","37.5","26.5","37.5","0","","Gobo holder: Rotating VL Carrier."
"Vari-Lite","VL3500 Spot","37.5","26.5","37.5","0","","Gobo holder: Rotating VL Carrier."
"Vari-Lite","VL3500 Wash FX","50.8","44","50","0.8","","Gobo holder: Rotating (no carrier)."
"Vari-Lite","VL3515 Spot","37.5","26.5","37.5","0","","Gobo holder: Rotating VL Carrier."
"Vari-Lite","VL3600 Profile","29.8","24","27.8","2","Nearest size is 2 mm under the holder",""
"Vari-Lite","VL4000","37.5","29.5","37.5","0","","Requires special holder from VariLite - (Gobo) Mirrored side down. See Diagram."
"Vari-Lite","VL4000 Beamwash, Spot","37.5","29.5","37.5","0","","Gobo holder: Requires Rotating VL Carrier."
"Vari-Lite","VL4000 Effects Wheel","100","95","100","0","","Requires VL gobo carrier."
"Vari-Lite","VL4000 Spot","37.5","29.5","37.5","0","","Gobo holder: Rotating VL Carrier."
"Vari-Lite","VL6000","37.5","29.5","37.5","0","","1.1mm Maximum Thickness."
"Vari-Lite","VLZ","30","22","29.9","0.1","","1.1mm Maximum Thickness. GoboPlus lists image 17mm - verify."
"Varytec","LED Profile Mini IP65 3200K","27","22","26.5","0.5","",""
"Wave Lighting","WB 280W Beam Spot","14.8","12","","","No production size at or below 14.8 mm","Gobo holder: Supplied with luminaire."
"WE-EF","FLC210-CC LED","46.5","38","44","2.5","Nearest size is 2.5 mm under the holder",""
"WE-EF","FLC230-CC LED","86","48","86","0","",""
"WE-EF","Profile FLC240","86","64.5","86","0","","Gobo holder: Supplied with luminaire."
"Westcott Lindsay Adler","Optical Spot","65.5","49.5","53.3","12.2","Nearest size is 12.2 mm under the holder",""
"Wildtech","Logo Projector 250W ELC","53.3","40","53.3","0","",""
"Wildtech","Logo Projector WT-LGP","53.3","40","53.3","0","",""
"Xenpow","Logojector LGP-32B/CR1, 32B/RZ, 32B/Z, 32IP1","37.5","28","37.5","0","",""
"Xenpow","Logojector LGP- 20 & 30 CRL & IPL, 32B/CR2, 32IP2","37.5","28","37.5","0","",""
"Zero 88","Condenser Profile, Focus","65.5","49.5","53.3","12.2","Nearest size is 12.2 mm under the holder","Gobo holder: GH15 metal, GH55 glass."
"Zumtobel","Arc 3 Gobo Projector","53","35","50","3","Nearest size is 3 mm under the holder",""
"Zumtobel","Staff Xeno Objective","42","36","37.5","4.5","Nearest size is 4.5 mm under the holder",""
